Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,4555.75,наличный,Гомель,МаксБанк-WTOU-772,16-07-2017,09:26:36,недостаточно средств,нет,0.0
юр. лицо,списание средств,1567.69,наличный,Брест,МаксБанк-EKJQ-004,18-11-2024,02:52:04,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3198.86,безналичный,Могилев,МаксБанк-HJTE-343,23-03-2015,19:30:15,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3391.18,безналичный,Витебск,Белинвестбанк-TSWI-484,12-03-2013,09:07:08,успешно,нет,0.0
юр. лицо,списание средств,833.66,наличный,Брест,МаксБанк-POBZ-271,02-10-2008,09:55:14,недостаточно средств,нет,0.0
физ. лицо,получение средств,4057.11,безналичный,Гомель,БелАгропромбанк-UGBE-431,28-08-2006,00:22:45,успешно,нет,0.0
юр. лицо,получение средств,2485.66,наличный,Минск,Беларусбанк-YIYK-534,07-10-2013,21:58:53,успешно,нет,0.0
юр. лицо,списание средств,38.65,наличный,Могилев,Белинвестбанк-FNOJ-262,02-08-2017,03:46:37,неправильный ввод пин-кода,да,3.37
юр. лицо,списание средств,3611.44,безналичный,Могилев,БелАгропромбанк-XBWL-162,29-01-2000,06:57:47,неправильный ввод пин-кода,да,349.36
юр. лицо,получение средств,1776.22,безналичный,Гродно,МаксБанк-DYRC-203,02-04-2012,02:21:15,успешно,нет,0.0
физ. лицо,списание средств,4085.45,безналичный,Брест,Беларусбанк-BQHZ-214,19-02-2009,05:47:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1641.53,безналичный,Витебск,Приорбанк-AQUC-733,22-09-2021,09:28:38,успешно,да,54.84
юр. лицо,получение средств,769.52,наличный,Брест,БелАгропромбанк-XCFG-643,25-12-2005,06:50:24,успешно,нет,0.0
физ. лицо,списание средств,2885.6,безналичный,Гродно,БелАгропромбанк-MZLL-269,02-07-2003,21:29:15,недостаточно средств,нет,0.0
физ. лицо,списание средств,4011.86,безналичный,Витебск,МаксБанк-XMKZ-370,19-09-2024,03:13:03,неправильный ввод пин-кода,да,52.89
юр. лицо,получение средств,1163.84,безналичный,Витебск,Приорбанк-NDJL-596,26-07-2013,21:15:53,успешно,нет,0.0
юр. лицо,списание средств,3780.73,наличный,Минск,Белинвестбанк-GPQK-693,07-07-2021,21:25:34,успешно,нет,0.0
юр. лицо,получение средств,4419.27,безналичный,Витебск,Беларусбанк-KTFE-755,27-09-2020,23:06:14,успешно,нет,0.0
физ. лицо,получение средств,2435.51,наличный,Витебск,Приорбанк-GBFA-872,25-07-2022,05:39:47,успешно,нет,0.0
физ. лицо,получение средств,2417.68,безналичный,Могилев,Приорбанк-YNEL-035,18-06-2010,09:58:26,успешно,нет,0.0
физ. лицо,списание средств,3508.98,безналичный,Гродно,Приорбанк-IRWB-617,26-12-2003,22:32:18,успешно,да,83.2
юр. лицо,получение средств,1365.71,безналичный,Брест,МаксБанк-IOUZ-125,22-06-2008,04:35:49,успешно,нет,0.0
физ. лицо,списание средств,2341.7,наличный,Могилев,Приорбанк-YHXS-672,14-12-2009,03:21:13,успешно,нет,0.0
физ. лицо,списание средств,3747.12,безналичный,Могилев,Беларусбанк-RMWR-943,04-02-2018,14:21:31,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3666.79,наличный,Гомель,МаксБанк-WFOM-000,25-03-2023,00:19:10,недостаточно средств,нет,0.0
физ. лицо,получение средств,1796.78,безналичный,Брест,Приорбанк-CFDL-085,15-10-2007,01:03:09,успешно,нет,0.0
физ. лицо,списание средств,4418.98,наличный,Брест,Белинвестбанк-UKXA-007,19-05-2012,17:34:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1494.52,безналичный,Минск,Приорбанк-OKUW-919,05-01-2006,16:31:24,успешно,нет,0.0
юр. лицо,получение средств,3835.07,наличный,Гродно,БелАгропромбанк-AWFL-836,30-06-2024,11:53:54,успешно,нет,0.0
юр. лицо,списание средств,3445.45,безналичный,Витебск,БелАгропромбанк-IQDS-856,09-03-2008,00:35:45,успешно,да,299.13
юр. лицо,получение средств,3839.07,безналичный,Гомель,Беларусбанк-HNUQ-813,20-02-2015,20:44:05,успешно,нет,0.0
юр. лицо,списание средств,1037.6,безналичный,Минск,БелАгропромбанк-LQDL-493,18-03-2004,18:57:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,545.24,безналичный,Брест,БелАгропромбанк-EVIE-272,24-10-2015,10:52:22,успешно,нет,0.0
физ. лицо,получение средств,2917.93,наличный,Брест,Беларусбанк-EAMG-907,19-05-2014,21:00:37,успешно,нет,0.0
физ. лицо,списание средств,772.33,безналичный,Могилев,Приорбанк-HGPP-629,14-06-2007,16:54:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2730.62,наличный,Брест,Приорбанк-HNOE-741,01-01-2020,06:02:13,недостаточно средств,нет,0.0
физ. лицо,получение средств,2537.25,наличный,Могилев,Приорбанк-QBAU-877,15-11-2008,09:34:34,успешно,нет,0.0
юр. лицо,получение средств,2348.16,безналичный,Гродно,Белинвестбанк-ZPHK-279,15-06-2004,16:48:02,успешно,нет,0.0
юр. лицо,получение средств,3021.62,наличный,Гродно,Белинвестбанк-NTQB-998,15-02-2017,09:09:47,успешно,нет,0.0
юр. лицо,списание средств,4378.11,наличный,Могилев,Беларусбанк-VNXW-685,29-11-2015,22:31:54,успешно,нет,0.0
юр. лицо,получение средств,1282.65,наличный,Могилев,МаксБанк-DQCH-360,22-06-2015,23:21:37,успешно,нет,0.0
физ. лицо,получение средств,1114.65,наличный,Гомель,Приорбанк-PRXL-156,03-02-2018,03:29:02,успешно,нет,0.0
юр. лицо,получение средств,2699.03,наличный,Брест,Беларусбанк-UTWB-692,16-08-2006,18:13:07,успешно,нет,0.0
физ. лицо,получение средств,3471.99,наличный,Витебск,БелАгропромбанк-ZQWX-444,09-05-2005,17:11:30,успешно,нет,0.0
физ. лицо,списание средств,829.58,наличный,Гомель,Белинвестбанк-WBEV-007,05-04-2019,19:18:19,недостаточно средств,да,29.77
юр. лицо,списание средств,231.98,безналичный,Витебск,Приорбанк-BVUR-993,05-05-2003,11:50:11,успешно,нет,0.0
физ. лицо,получение средств,4961.15,безналичный,Витебск,БелАгропромбанк-PSJN-260,17-12-2014,02:48:22,успешно,нет,0.0
юр. лицо,получение средств,499.49,наличный,Гродно,Белинвестбанк-QNNL-641,15-11-2019,01:32:47,успешно,нет,0.0
физ. лицо,списание средств,1767.89,безналичный,Брест,МаксБанк-TJOJ-048,18-02-2006,00:48:34,неправильный ввод пин-кода,да,152.57
физ. лицо,получение средств,1218.69,безналичный,Гомель,Белинвестбанк-ZEQU-818,30-11-2023,11:50:36,успешно,нет,0.0
юр. лицо,списание средств,4324.78,наличный,Гродно,МаксБанк-NCKT-104,08-06-2017,03:24:50,успешно,нет,0.0
юр. лицо,списание средств,1914.89,наличный,Гродно,МаксБанк-YAAI-246,22-10-2007,18:49:14,недостаточно средств,да,77.64
физ. лицо,списание средств,4074.09,безналичный,Могилев,БелАгропромбанк-OHMR-907,23-09-2011,00:11:06,успешно,нет,0.0
юр. лицо,получение средств,4707.11,наличный,Могилев,Беларусбанк-NYCO-628,09-05-2001,19:25:22,успешно,нет,0.0
физ. лицо,списание средств,4393.1,безналичный,Гродно,Белинвестбанк-XDNX-910,15-08-2003,12:20:10,успешно,да,189.34
юр. лицо,списание средств,4967.98,наличный,Гомель,Беларусбанк-ZUNZ-948,08-09-2003,10:43:39,недостаточно средств,да,260.99
юр. лицо,списание средств,2649.2,безналичный,Брест,МаксБанк-VHFT-893,05-03-2015,00:27:19,недостаточно средств,да,169.77
физ. лицо,списание средств,2111.77,безналичный,Могилев,Беларусбанк-SHPJ-994,26-12-2024,13:42:35,успешно,нет,0.0
физ. лицо,получение средств,2157.48,наличный,Минск,Беларусбанк-VSWH-048,14-12-2001,22:20:28,успешно,нет,0.0
физ. лицо,получение средств,1496.22,безналичный,Гомель,Беларусбанк-QLNR-729,05-04-2024,00:49:31,успешно,нет,0.0
юр. лицо,получение средств,4077.63,наличный,Витебск,Приорбанк-VIXV-388,06-01-2024,04:11:20,успешно,нет,0.0
юр. лицо,списание средств,3482.97,безналичный,Витебск,БелАгропромбанк-VODR-016,17-02-2014,01:53:48,недостаточно средств,да,185.0
юр. лицо,получение средств,3724.62,безналичный,Брест,Приорбанк-VUVM-456,10-09-2021,11:00:40,успешно,нет,0.0
физ. лицо,списание средств,1294.37,безналичный,Могилев,Беларусбанк-ZMPH-752,17-03-2011,01:38:34,успешно,да,49.44
юр. лицо,получение средств,1801.78,безналичный,Минск,МаксБанк-JTYZ-711,11-12-2024,01:39:50,успешно,нет,0.0
физ. лицо,списание средств,3935.8,наличный,Витебск,Приорбанк-YCKP-119,15-04-2015,18:47:34,успешно,да,99.34
юр. лицо,получение средств,4082.99,наличный,Минск,Беларусбанк-CGMJ-455,20-05-2023,22:37:10,успешно,нет,0.0
юр. лицо,получение средств,495.75,наличный,Брест,Белинвестбанк-DDYZ-614,07-09-2022,23:48:13,успешно,нет,0.0
юр. лицо,получение средств,3695.32,наличный,Брест,Приорбанк-ZDKX-189,17-08-2016,14:59:41,успешно,нет,0.0
физ. лицо,списание средств,2471.55,безналичный,Витебск,Белинвестбанк-LQXI-070,22-01-2024,04:05:53,недостаточно средств,да,120.15
юр. лицо,получение средств,4855.05,наличный,Минск,Беларусбанк-PJNB-046,09-12-2002,11:30:14,успешно,нет,0.0
физ. лицо,списание средств,3529.68,безналичный,Могилев,МаксБанк-EEZX-457,02-05-2005,06:45:33,недостаточно средств,да,125.13
юр. лицо,списание средств,3153.66,безналичный,Витебск,МаксБанк-VEBK-333,27-05-2012,16:26:06,успешно,да,143.35
физ. лицо,списание средств,4694.4,безналичный,Гомель,Приорбанк-JWOP-001,31-01-2004,08:32:01,успешно,нет,0.0
физ. лицо,получение средств,2005.37,наличный,Могилев,Приорбанк-OMEI-121,24-05-2001,11:43:24,успешно,нет,0.0
юр. лицо,получение средств,3479.98,безналичный,Могилев,Приорбанк-IXPJ-440,04-02-2005,22:58:06,успешно,нет,0.0
юр. лицо,получение средств,4860.38,наличный,Витебск,Приорбанк-MAOO-585,05-05-2006,15:06:43,успешно,нет,0.0
юр. лицо,списание средств,1098.36,наличный,Гомель,Беларусбанк-HKSN-410,17-12-2004,03:32:14,недостаточно средств,да,28.93
физ. лицо,списание средств,597.92,наличный,Витебск,Беларусбанк-RUDM-700,04-07-2017,23:11:00,недостаточно средств,нет,0.0
юр. лицо,списание средств,1069.5,безналичный,Могилев,Беларусбанк-PAVT-586,25-03-2009,01:17:21,успешно,нет,0.0
юр. лицо,списание средств,2148.66,безналичный,Минск,БелАгропромбанк-HVRW-070,18-03-2022,15:30:09,недостаточно средств,да,45.61
юр. лицо,списание средств,934.84,безналичный,Могилев,Приорбанк-IXFY-809,16-05-2020,07:03:17,успешно,да,53.16
физ. лицо,списание средств,146.12,безналичный,Минск,Приорбанк-YIRX-922,16-01-2007,10:45:19,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4893.03,безналичный,Гомель,МаксБанк-YRWI-594,26-07-2016,07:29:11,успешно,нет,0.0
юр. лицо,получение средств,582.08,наличный,Гродно,Приорбанк-PROM-811,17-02-2020,18:19:08,успешно,нет,0.0
юр. лицо,получение средств,3784.36,наличный,Брест,Приорбанк-VIMB-345,01-12-2002,01:44:26,успешно,нет,0.0
физ. лицо,получение средств,516.05,наличный,Гомель,Беларусбанк-BQUD-749,13-11-2020,03:58:44,успешно,нет,0.0
физ. лицо,получение средств,1156.09,безналичный,Брест,БелАгропромбанк-OBEP-271,30-05-2003,22:00:54,успешно,нет,0.0
физ. лицо,получение средств,3844.36,безналичный,Могилев,МаксБанк-CUSF-150,06-04-2011,23:03:43,успешно,нет,0.0
физ. лицо,списание средств,4840.78,наличный,Брест,БелАгропромбанк-CZMH-656,09-10-2003,08:27:36,недостаточно средств,да,244.22
юр. лицо,получение средств,3675.21,безналичный,Витебск,Приорбанк-EMKH-284,17-01-2021,02:25:55,успешно,нет,0.0
физ. лицо,получение средств,3428.47,наличный,Минск,Беларусбанк-FZHT-294,20-09-2016,01:41:21,успешно,нет,0.0
физ. лицо,получение средств,3105.26,наличный,Гомель,Приорбанк-PUZP-544,06-12-2023,13:08:03,успешно,нет,0.0
юр. лицо,списание средств,3115.06,безналичный,Гродно,Белинвестбанк-WDSK-061,29-11-2012,21:20:11,неправильный ввод пин-кода,да,50.67
юр. лицо,получение средств,983.6,безналичный,Могилев,Беларусбанк-JYIA-505,09-04-2024,00:18:35,успешно,нет,0.0
физ. лицо,получение средств,995.25,безналичный,Витебск,БелАгропромбанк-FHMG-610,30-03-2014,12:43:48,успешно,нет,0.0
юр. лицо,списание средств,1155.92,безналичный,Брест,Белинвестбанк-ERZU-831,22-02-2001,21:51:40,успешно,нет,0.0
физ. лицо,получение средств,1584.1,наличный,Брест,МаксБанк-XXHI-538,02-03-2014,17:41:48,успешно,нет,0.0
физ. лицо,получение средств,99.75,безналичный,Брест,БелАгропромбанк-BAMI-948,06-09-2012,19:12:03,успешно,нет,0.0
юр. лицо,списание средств,548.94,безналичный,Брест,БелАгропромбанк-UPOC-610,07-08-2004,22:01:38,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,891.35,безналичный,Минск,МаксБанк-UUZG-572,21-08-2018,11:32:24,успешно,нет,0.0
физ. лицо,получение средств,4078.1,безналичный,Минск,Приорбанк-DGKH-817,24-04-2017,09:48:27,успешно,нет,0.0
физ. лицо,получение средств,297.37,наличный,Могилев,Приорбанк-PAYB-059,10-05-2023,15:23:44,успешно,нет,0.0
физ. лицо,списание средств,2945.23,безналичный,Брест,Белинвестбанк-POKG-348,15-08-2009,03:39:01,неправильный ввод пин-кода,да,125.77
физ. лицо,получение средств,996.96,наличный,Брест,Беларусбанк-SBPG-461,12-11-2015,11:29:31,успешно,нет,0.0
юр. лицо,списание средств,1349.51,безналичный,Витебск,БелАгропромбанк-QCFM-506,28-12-2024,16:00:34,недостаточно средств,нет,0.0
юр. лицо,списание средств,183.59,безналичный,Брест,МаксБанк-FEST-741,25-04-2003,18:01:07,неправильный ввод пин-кода,да,10.03
юр. лицо,получение средств,2560.63,наличный,Витебск,Белинвестбанк-TGSF-120,01-01-2017,16:49:49,успешно,нет,0.0
юр. лицо,списание средств,1947.36,безналичный,Витебск,Беларусбанк-ZTNQ-717,05-02-2001,19:36:47,недостаточно средств,да,173.1
физ. лицо,списание средств,1370.48,безналичный,Витебск,Белинвестбанк-LRAX-988,02-08-2016,02:09:51,успешно,да,127.21
юр. лицо,получение средств,739.17,безналичный,Гродно,Белинвестбанк-ERIX-664,13-12-2012,14:20:22,успешно,нет,0.0
юр. лицо,списание средств,3199.17,наличный,Могилев,БелАгропромбанк-DIQE-888,04-11-2011,17:23:17,недостаточно средств,нет,0.0
юр. лицо,получение средств,4064.0,безналичный,Гродно,Приорбанк-EOPD-095,07-12-2002,17:25:32,успешно,нет,0.0
физ. лицо,списание средств,3604.48,безналичный,Витебск,Белинвестбанк-ENUK-511,12-01-2016,03:55:13,недостаточно средств,да,221.2
физ. лицо,списание средств,1771.27,наличный,Витебск,МаксБанк-JDAY-706,23-02-2002,09:28:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1547.79,безналичный,Гомель,БелАгропромбанк-ZWIV-688,16-02-2014,11:15:13,неправильный ввод пин-кода,да,58.68
физ. лицо,получение средств,694.93,безналичный,Витебск,МаксБанк-FBHX-251,03-08-2002,17:42:25,успешно,нет,0.0
юр. лицо,получение средств,3777.91,безналичный,Гомель,Беларусбанк-ZKVT-802,04-11-2023,01:39:40,успешно,нет,0.0
юр. лицо,списание средств,4100.74,безналичный,Минск,БелАгропромбанк-XSXQ-287,21-11-2010,21:00:01,успешно,нет,0.0
юр. лицо,получение средств,2488.93,наличный,Минск,БелАгропромбанк-MFWI-248,02-10-2010,07:40:11,успешно,нет,0.0
физ. лицо,списание средств,529.05,безналичный,Минск,Приорбанк-DHZK-903,13-08-2019,06:27:02,успешно,нет,0.0
юр. лицо,списание средств,1586.36,безналичный,Минск,Приорбанк-BIXR-709,12-08-2009,02:45:37,недостаточно средств,нет,0.0
юр. лицо,списание средств,4988.48,наличный,Минск,МаксБанк-YGPY-856,28-09-2012,23:48:37,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4881.09,наличный,Гродно,МаксБанк-YHPE-151,08-12-2024,19:57:20,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4884.91,безналичный,Гомель,Беларусбанк-IEIF-241,11-05-2020,20:34:20,успешно,нет,0.0
юр. лицо,получение средств,2066.16,наличный,Гродно,Беларусбанк-ZYUE-544,01-01-2018,08:18:07,успешно,нет,0.0
физ. лицо,списание средств,3947.55,наличный,Могилев,Приорбанк-ZLPU-376,22-06-2018,11:46:18,недостаточно средств,нет,0.0
физ. лицо,списание средств,4601.91,безналичный,Брест,Белинвестбанк-PYIN-101,26-03-2016,23:48:49,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1863.9,наличный,Гомель,МаксБанк-QUKS-992,16-07-2014,20:05:43,успешно,нет,0.0
физ. лицо,получение средств,1820.78,наличный,Минск,Приорбанк-NFLY-826,19-07-2021,19:12:25,успешно,нет,0.0
юр. лицо,списание средств,3967.33,безналичный,Минск,Беларусбанк-OTFX-853,12-09-2021,01:22:53,успешно,да,297.34
юр. лицо,списание средств,2726.38,безналичный,Гродно,Белинвестбанк-KUXD-280,30-03-2001,04:18:53,успешно,да,153.03
физ. лицо,получение средств,4884.51,безналичный,Минск,БелАгропромбанк-VDBD-674,23-11-2006,06:54:45,успешно,нет,0.0
физ. лицо,списание средств,1189.44,безналичный,Гродно,МаксБанк-DVVX-533,20-07-2014,15:36:16,успешно,нет,0.0
физ. лицо,списание средств,4173.42,наличный,Гомель,БелАгропромбанк-QDGR-379,15-11-2000,13:54:16,недостаточно средств,да,356.41
физ. лицо,списание средств,1033.36,безналичный,Гомель,Беларусбанк-BEBP-677,25-08-2001,01:54:16,успешно,да,93.5
физ. лицо,списание средств,2526.24,безналичный,Минск,МаксБанк-ZEGZ-850,26-07-2021,01:52:14,неправильный ввод пин-кода,да,114.11
физ. лицо,получение средств,4686.03,наличный,Брест,Приорбанк-OFFN-248,04-10-2016,02:14:53,успешно,нет,0.0
физ. лицо,получение средств,2697.26,безналичный,Могилев,Приорбанк-CFBQ-805,15-09-2021,18:51:45,успешно,нет,0.0
физ. лицо,списание средств,2569.82,наличный,Минск,Белинвестбанк-TLNR-363,02-11-2003,06:32:36,недостаточно средств,да,215.71
юр. лицо,получение средств,1399.06,наличный,Гомель,Приорбанк-CWBT-798,10-10-2024,08:31:13,успешно,нет,0.0
физ. лицо,списание средств,4367.43,наличный,Могилев,МаксБанк-OLZH-612,19-09-2019,11:56:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2140.92,безналичный,Гомель,БелАгропромбанк-ISWV-400,22-08-2020,01:12:34,успешно,нет,0.0
физ. лицо,списание средств,1311.08,безналичный,Брест,МаксБанк-QCZE-872,12-08-2003,01:26:20,недостаточно средств,нет,0.0
юр. лицо,получение средств,58.97,наличный,Брест,БелАгропромбанк-ORIK-272,12-08-2012,14:38:48,успешно,нет,0.0
физ. лицо,списание средств,1833.17,наличный,Могилев,Приорбанк-ECXR-854,11-04-2008,07:32:40,недостаточно средств,нет,0.0
юр. лицо,получение средств,2762.52,наличный,Могилев,Беларусбанк-EHRD-747,07-02-2001,07:24:04,успешно,нет,0.0
физ. лицо,списание средств,2179.73,наличный,Могилев,БелАгропромбанк-QMIX-619,08-09-2003,00:54:35,успешно,нет,0.0
юр. лицо,списание средств,613.06,безналичный,Брест,БелАгропромбанк-SDZO-494,19-10-2011,19:34:08,успешно,нет,0.0
юр. лицо,списание средств,1714.94,наличный,Витебск,Беларусбанк-DXQU-548,08-02-2005,05:01:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1607.9,наличный,Могилев,Белинвестбанк-SQWR-914,14-01-2014,23:04:05,успешно,нет,0.0
физ. лицо,списание средств,4221.0,безналичный,Гродно,Беларусбанк-FDNB-899,11-09-2011,07:06:41,успешно,да,92.09
юр. лицо,получение средств,3334.39,безналичный,Гомель,Белинвестбанк-ZGCH-499,30-08-2000,12:56:50,успешно,нет,0.0
физ. лицо,получение средств,4784.83,безналичный,Минск,МаксБанк-DZLK-132,16-01-2022,18:34:17,успешно,нет,0.0
юр. лицо,списание средств,4775.72,безналичный,Витебск,Белинвестбанк-RZUI-775,31-08-2024,00:11:31,недостаточно средств,нет,0.0
юр. лицо,получение средств,2666.75,безналичный,Минск,Беларусбанк-WYHT-547,19-07-2021,01:49:36,успешно,нет,0.0
юр. лицо,получение средств,1758.2,наличный,Минск,БелАгропромбанк-XHNI-310,26-10-2021,10:36:35,успешно,нет,0.0
физ. лицо,списание средств,2967.11,безналичный,Гродно,БелАгропромбанк-FKCB-602,15-08-2017,08:44:26,недостаточно средств,нет,0.0
юр. лицо,списание средств,636.53,безналичный,Брест,МаксБанк-XMLW-975,05-11-2021,01:54:47,успешно,нет,0.0
физ. лицо,получение средств,932.62,безналичный,Гродно,МаксБанк-JGZF-289,03-04-2018,05:04:56,успешно,нет,0.0
юр. лицо,списание средств,3025.79,безналичный,Могилев,Белинвестбанк-XHNC-839,03-12-2005,11:18:30,неправильный ввод пин-кода,да,194.59
физ. лицо,списание средств,1849.06,безналичный,Могилев,Приорбанк-HJYK-332,22-02-2020,11:39:47,недостаточно средств,нет,0.0
юр. лицо,списание средств,4534.61,наличный,Могилев,Приорбанк-IIYZ-038,06-01-2017,13:58:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2004.23,наличный,Гродно,Белинвестбанк-BAMK-812,12-04-2005,19:34:28,успешно,нет,0.0
юр. лицо,получение средств,816.87,безналичный,Минск,МаксБанк-RZHR-357,03-09-2005,01:02:20,успешно,нет,0.0
юр. лицо,получение средств,1192.52,безналичный,Гродно,БелАгропромбанк-IPQL-952,08-08-2014,16:21:21,успешно,нет,0.0
физ. лицо,списание средств,2870.63,наличный,Витебск,МаксБанк-FJFE-931,15-08-2001,21:52:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4928.22,наличный,Гродно,БелАгропромбанк-LOQK-470,01-12-2007,15:09:51,успешно,нет,0.0
юр. лицо,списание средств,4150.94,безналичный,Гродно,Приорбанк-CQBH-441,19-08-2009,22:31:57,неправильный ввод пин-кода,да,190.03
юр. лицо,получение средств,1244.93,наличный,Витебск,Беларусбанк-KOQQ-735,05-01-2010,08:00:52,успешно,нет,0.0
физ. лицо,списание средств,2176.77,безналичный,Могилев,МаксБанк-MEOE-515,06-11-2011,09:02:49,неправильный ввод пин-кода,да,129.15
юр. лицо,получение средств,3109.86,наличный,Брест,БелАгропромбанк-TPLU-634,11-01-2000,07:14:03,успешно,нет,0.0
физ. лицо,получение средств,4453.71,безналичный,Минск,Белинвестбанк-ZXWH-539,19-10-2010,01:51:07,успешно,нет,0.0
юр. лицо,списание средств,4246.01,наличный,Могилев,МаксБанк-YTZU-113,02-03-2005,01:06:07,недостаточно средств,да,386.48
физ. лицо,получение средств,911.87,наличный,Брест,Белинвестбанк-BQCN-338,29-09-2020,11:11:18,успешно,нет,0.0
физ. лицо,списание средств,1502.22,наличный,Брест,Приорбанк-XCWJ-121,22-05-2022,21:42:43,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3613.19,безналичный,Витебск,Приорбанк-LPMQ-973,21-09-2016,22:21:56,недостаточно средств,да,202.56
физ. лицо,получение средств,3342.1,наличный,Гродно,МаксБанк-XEOD-544,15-01-2020,19:45:28,успешно,нет,0.0
физ. лицо,получение средств,1005.46,безналичный,Брест,МаксБанк-HZAO-613,24-06-2006,15:37:55,успешно,нет,0.0
физ. лицо,списание средств,4638.19,безналичный,Могилев,Беларусбанк-GFRT-995,26-01-2013,02:37:26,неправильный ввод пин-кода,да,335.92
физ. лицо,получение средств,1280.5,безналичный,Могилев,Белинвестбанк-SRHP-681,01-09-2009,23:07:10,успешно,нет,0.0
физ. лицо,получение средств,3540.85,наличный,Витебск,БелАгропромбанк-XVGA-284,01-10-2022,12:34:13,успешно,нет,0.0
физ. лицо,списание средств,3475.54,наличный,Гродно,Белинвестбанк-VBVL-980,01-10-2009,15:35:04,недостаточно средств,нет,0.0
юр. лицо,получение средств,4655.77,безналичный,Минск,Белинвестбанк-SIGE-985,23-11-2015,00:52:16,успешно,нет,0.0
юр. лицо,получение средств,249.93,безналичный,Гомель,Приорбанк-CGKE-680,17-10-2005,11:01:05,успешно,нет,0.0
физ. лицо,получение средств,4821.53,наличный,Минск,МаксБанк-OAKU-762,04-11-2006,21:59:57,успешно,нет,0.0
физ. лицо,списание средств,4730.21,наличный,Витебск,МаксБанк-TLHK-305,25-02-2005,09:25:53,успешно,да,406.84
физ. лицо,получение средств,2950.48,наличный,Минск,Беларусбанк-OFGW-988,18-12-2022,20:16:39,успешно,нет,0.0
физ. лицо,получение средств,3512.63,безналичный,Гомель,БелАгропромбанк-XZTA-562,17-09-2009,23:01:26,успешно,нет,0.0
физ. лицо,получение средств,2165.49,безналичный,Минск,МаксБанк-ZEOT-885,20-03-2004,13:39:11,успешно,нет,0.0
юр. лицо,получение средств,4440.77,наличный,Минск,Беларусбанк-YNFZ-793,04-02-2008,20:23:01,успешно,нет,0.0
юр. лицо,списание средств,3331.49,безналичный,Могилев,БелАгропромбанк-JPUS-740,28-11-2023,12:50:26,неправильный ввод пин-кода,да,90.22
физ. лицо,получение средств,1313.76,наличный,Могилев,МаксБанк-QHZC-053,11-10-2002,02:42:38,успешно,нет,0.0
юр. лицо,списание средств,4937.24,наличный,Брест,Приорбанк-ICRI-793,14-04-2003,01:28:48,неправильный ввод пин-кода,да,294.79
физ. лицо,получение средств,4894.75,наличный,Гродно,Белинвестбанк-BORS-485,29-06-2017,21:02:05,успешно,нет,0.0
физ. лицо,списание средств,3197.44,наличный,Гомель,МаксБанк-TQSQ-424,27-12-2012,11:37:54,недостаточно средств,да,38.46
физ. лицо,списание средств,4949.53,наличный,Минск,МаксБанк-KCFO-381,21-11-2024,21:39:52,недостаточно средств,да,287.12
юр. лицо,списание средств,1622.61,безналичный,Гомель,МаксБанк-PXRS-850,04-07-2014,15:02:50,недостаточно средств,да,153.07
физ. лицо,получение средств,1026.07,безналичный,Витебск,МаксБанк-HNYY-019,02-09-2015,16:48:09,успешно,нет,0.0
юр. лицо,получение средств,3327.62,безналичный,Гомель,Приорбанк-VZFB-783,19-09-2003,01:17:16,успешно,нет,0.0
физ. лицо,списание средств,2654.75,наличный,Гродно,Беларусбанк-AZCZ-744,10-08-2001,14:21:30,неправильный ввод пин-кода,да,108.24
физ. лицо,получение средств,3803.62,наличный,Гродно,Белинвестбанк-VQNK-652,01-02-2004,09:04:15,успешно,нет,0.0
физ. лицо,списание средств,4927.49,безналичный,Минск,БелАгропромбанк-DHWY-141,05-04-2018,12:16:32,успешно,нет,0.0
юр. лицо,получение средств,1346.27,наличный,Минск,Беларусбанк-QIAB-860,29-02-2016,01:54:34,успешно,нет,0.0
физ. лицо,списание средств,2856.36,безналичный,Витебск,БелАгропромбанк-SAKX-562,28-06-2024,22:02:50,неправильный ввод пин-кода,да,118.22
юр. лицо,получение средств,941.59,безналичный,Витебск,Приорбанк-HTYC-702,25-01-2012,11:04:59,успешно,нет,0.0
